Ano;IdUrg;URG;Escola;Tipo;Consulta;Qtd
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;DENTISTA;1
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;DERMATOLOGISTA;2
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;PEDIATRA;2
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;PSICOLOGIA;2
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;ALERGISTA;8
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;DENTISTA;5
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;DERMATOLOGISTA;5
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;ENDOCRINOLOGISTA;2
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;FONOAUDIÓLOGA;7
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;NEUROLOGISTA;6
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;NUTRIÇÃO;6
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;OFTALMOLOGISTA;6
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;OTORRINOLARINGOLOGISTA;2
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;PEDIATRA;10
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;PSICOLOGIA;10
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;ALERGISTA;8
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;CARDIOLOGISTA;3
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;CIRURGIÃO;1
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;DENTISTA;22
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;DERMATOLOGISTA;6
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;ENDOCRINOLOGISTA;3
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;FONOAUDIÓLOGA;5
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;GASTROENTEROLOGISTA;2
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;GINECOLOGISTA;2
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;HEMATOLOGISTA;1
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;NEUROLOGISTA;18
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;NUTRIÇÃO;7
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;OFTALMOLOGISTA;23
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;ORTOPEDISTA;5
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;OTORRINOLARINGOLOGISTA;6
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;PEDIATRA;20
