URG;Escola;Consulta;2022;2023;2024;2025;Total
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;DERMATOLOGISTA;0;0;0;2;2
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PEDIATRA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ALERGISTA;0;0;0;4;4
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ORTOPEDISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;OFTALMOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;NEUROLOGISTA;0;0;0;7;7
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;CIRURGIÃO;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PSICOLOGIA;0;0;0;4;4
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;OTORRINOLARINGOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;CARDIOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;REUMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;UROLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PROCTOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;GINECOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;HEMATOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ANGIOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ONCOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ENDOCRINOLOGISTA;0;0;0;1;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PSIQUIATRA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;INFECTOLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;NUTRIÇÃO;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;DENTISTA;0;0;0;1;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;FONOAUDIÓLOGA;0;0;0;3;3
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;GASTROENTEROLOGISTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PNEUMOLOGISTA;0;0;0;1;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;TERAPIA OCUPACIONAL;0;0;0;2;2
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;DERMATOLOGISTA;0;0;0;4;4
