Ano;IdUrg;URG;Escola;Tipo;Exame;Qtd
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;EXAME LABORATORIAL;2
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;EXAME LABORATORIAL;44
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;ULTRASSOM;3
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;ELETROCARDIOGRAMA;1
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;EXAME LABORATORIAL;96
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;RAIO X;2
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;RESSONÂNCIA;1
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;ULTRASSOM;3
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;ECOCARDIOGRAMA;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;EXAME LABORATORIAL;109
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;ULTRASSOM;2
2022;2;URG II-POSSE;E M LUIZ DE LEMOS;EM;ECOCARDIOGRAMA;2
2022;2;URG II-POSSE;E M LUIZ DE LEMOS;EM;EXAME LABORATORIAL;64
2022;2;URG II-POSSE;E M LUIZ DE LEMOS;EM;ULTRASSOM;2
2022;2;URG II-POSSE;E M PRESIDENTE GETULIO DORNELLES VARGAS;EM;ECOCARDIOGRAMA;1
2022;2;URG II-POSSE;E M PRESIDENTE GETULIO DORNELLES VARGAS;EM;EXAME LABORATORIAL;32
2022;2;URG II-POSSE;E M PRESIDENTE GETULIO DORNELLES VARGAS;EM;ULTRASSOM;1
2022;2;URG II-POSSE;E M PROF THEREZINHA DA SILVA XAVIER;EM;EXAME LABORATORIAL;33
2022;2;URG II-POSSE;E M SAO BENEDITO;EM;ECOCARDIOGRAMA;1
2022;2;URG II-POSSE;E M SAO BENEDITO;EM;EXAME LABORATORIAL;74
2022;2;URG II-POSSE;E M VEREADOR HELCIO CHAMBARELLI;EM;ECOCARDIOGRAMA;1
2022;2;URG II-POSSE;E M VEREADOR HELCIO CHAMBARELLI;EM;EXAME LABORATORIAL;78
2022;2;URG II-POSSE;E M VEREADOR HELCIO CHAMBARELLI;EM;ULTRASSOM;1
2022;2;URG II-POSSE;E M VIRGILIO DE MELO FRANCO;EM;EXAME LABORATORIAL;33
2022;2;URG II-POSSE;E M VIRGILIO DE MELO FRANCO;EM;RAIO X;1
2022;2;URG II-POSSE;E M VIRGILIO DE MELO FRANCO;EM;ULTRASSOM;1
2022;7;URG VII-VILA DE CAVA;E M ADRIANOPOLIS;EM;EXAME LABORATORIAL;15
2022;7;URG VII-VILA DE CAVA;E M BARAO DO GUANDU;EM;EXAME LABORATORIAL;31
2022;7;URG VII-VILA DE CAVA;E M BARAO DO GUANDU;EM;ULTRASSOM;1
2022;9;URG IX-TINGUA;E M BARAO DE TINGUA;EM;ELETROCARDIOGRAMA;1
2022;9;URG IX-TINGUA;E M BARAO DE TINGUA;EM;EXAME LABORATORIAL;34
2022;9;URG IX-TINGUA;E M BARAO DE TINGUA;EM;MAMOGRAFIA;1
2022;9;URG IX-TINGUA;E M DE JACERUBA;EM;EXAME LABORATORIAL;10
2022;9;URG IX-TINGUA;E M DE JACERUBA;EM;ULTRASSOM;1
2022;9;URG IX-TINGUA;E M JARDIM MONTEVIDEO;EM;ECOCARDIOGRAMA;1
2022;9;URG IX-TINGUA;E M JARDIM MONTEVIDEO;EM;ELETROCARDIOGRAMA;2
2022;9;URG IX-TINGUA;E M JARDIM MONTEVIDEO;EM;EXAME LABORATORIAL;29
2022;9;URG IX-TINGUA;E M PROF LUCIA VIANA CAPELLI;EM;EXAME LABORATORIAL;27
2022;9;URG IX-TINGUA;E M PROF LUCIA VIANA CAPELLI;EM;ULTRASSOM;1
2022;9;URG IX-TINGUA;E M PROF THEREZINHA DE JESUS ARAUJO HERMIDA;EM;ECOCARDIOGRAMA;1
2022;9;URG IX-TINGUA;E M PROF THEREZINHA DE JESUS ARAUJO HERMIDA;EM;ELETROCARDIOGRAMA;1
2022;9;URG IX-TINGUA;E M PROF THEREZINHA DE JESUS ARAUJO HERMIDA;EM;EXAME LABORATORIAL;47
2022;9;URG IX-TINGUA;E M PROF THEREZINHA DE JESUS ARAUJO HERMIDA;EM;ULTRASSOM;2
2022;9;URG IX-TINGUA;E M VALE DO TINGUA;EM;ECOCARDIOGRAMA;1
2022;9;URG IX-TINGUA;E M VALE DO TINGUA;EM;EXAME LABORATORIAL;22
2022;9;URG IX-TINGUA;EMEI TERRA DE MARAMBAIA;CRECHE;ECOCARDIOGRAMA;2
2022;9;URG IX-TINGUA;EMEI TERRA DE MARAMBAIA;CRECHE;EXAME LABORATORIAL;19
2023;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;CRECHE;EXAME LABORATORIAL;12
2023;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;CRECHE;EXAME LABORATORIAL;13
