URG;Escola;Exame;2022;2023;2024;2025;Total
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;EXAME LABORATORIAL;0;0;0;13;13
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ELETROCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ECOCARDIOGRAMA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;RAIO X;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EXAME LABORATORIAL;0;0;2;9;11
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ULTRASSOM;0;0;0;2;2
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;RESSONÂNCIA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;MAMOGRAFIA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ELETROCARDIOGRAMA;0;0;0;2;2
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ECOCARDIOGRAMA;0;0;0;2;2
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ECOCARDIOGRAMA DE CARÓTIDAS;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;RAIO X;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ENDOSCOPIA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;EXAME LABORATORIAL;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;ULTRASSOM;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;TOMOGRAFIA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;COLONOSCOPIA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;RESSONÂNCIA;0;0;0;0;0
