Ano;IdUrg;URG;Escola;DtInicio;DtFechamento;QtdAlunoEscola;QtdAluno;QtdProfessor;QtdPsicologo;QtdAssistSocial;QtdEnfermagem;QtdMedico;QtdVacinacao;QtdVacina;QtdEncaminhamento;QtdExame
2022;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;null;null;496;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;null;null;55;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;null;null;41;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M CAPISTRANO DE ABREU;null;null;297;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M CAPITÃO SILVINO AZEREDO;null;null;240;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M DR RUBENS FALCAO;null;null;393;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M DR THIBAU;null;null;175;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M ENGENHO PEQUENO;null;null;382;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M FRANCA CARVALHO;null;null;533;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M HEITOR DANTAS;null;null;247;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M JANICI FERREIRA MAIA ;null;null;400;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M JULIO RABELLO GUIMARAES;null;null;524;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M MANOEL JOAO GONCALVES;null;null;166;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M MARECHAL MASCARENHAS DE MORAES;null;null;393;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M MENINOS DE DEUS;null;null;338;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M MONTEIRO LOBATO;null;null;1287;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PADRE AGOSTINHO PRETTO;null;null;410;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF AMAZOR VIEIRA BORGES;null;null;681;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF EMILIO LUIZ PEDROSO ARAUJO;null;null;445;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF IZABEL DOS SANTOS SOARES MELLO;null;null;175;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF ORNELIA LIPPI ASSUMPCAO;null;null;154;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF OSIRES NEVES;null;null;752;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;14/10/2022;17/10/2022;112;48;38;42;43;46;19;11;15;7;2
2022;1;URG I-CENTRO;E M PROF RUY DE QUEIROZ;null;null;237;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;E.M PROF EDIVALDO BARROS DE OLIVEIRA;null;null;39;0;0;0;0;0;0;0;0;0;0
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;03/10/2022;04/10/2022;106;66;49;54;51;53;48;37;46;0;0
2022;1;URG I-CENTRO;EMEI SAO BENEDITO;null;null;195;0;0;0;0;0;0;0;0;0;0
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;16/11/2022;30/11/2022;310;213;166;164;155;188;143;86;112;67;47
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;04/10/2022;01/11/2022;658;533;308;404;447;429;119;104;150;0;0
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;07/11/2022;06/12/2022;985;749;528;605;624;644;287;197;345;170;103
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;18/10/2022;21/10/2022;881;711;564;603;601;624;341;250;434;163;112
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;20/09/2022;22/09/2022;847;561;333;433;365;391;174;107;168;0;0
2022;2;URG II-POSSE;E M GUINLE;29/09/2022;29/09/2022;169;168;114;166;84;91;61;43;60;0;0
