Descricao;2022;2023;2024;2025;Total
ALUNOS CADASTRADOS;64562;62388;61686;63445;252081
ALUNOS ATENDIDOS;7242;48264;49666;52162;157334
AVAL. PROFESSORES;5367;41937;41794;47523;136621
AVAL. PSCÓLOGOS;6145;40696;28563;9522;84926
AVAL. ASSIST. SOCIAIS;5802;41203;41407;41955;130367
AVAL. ENFERMAGEM;6156;42458;42559;43539;134712
AVAL. MÉDICAS;3308;23258;20201;18792;65559
ALUNOS VACINADOS;2023;14076;11903;10400;38402
VACINAS APLICADAS;3179;16335;15883;13722;49119
ENCAMINHAMENTOS;1141;7839;6507;8539;24026
EXAMES;838;6144;5993;6070;19045
