URG;Escola;Descricao;2022;2023;2024;2025;Total
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ALUNOS CADASTRADOS;0;41;40;50;131
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ALUNOS ATENDIDOS;0;31;39;48;118
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;AVAL. PROFESSORES;0;30;39;48;117
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;AVAL. PSCÓLOGOS;0;30;16;9;55
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;AVAL. ASSIST. SOCIAIS;0;30;16;38;84
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;AVAL. ENFERMAGEM;0;31;16;37;84
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;AVAL. MÉDICAS;0;24;17;38;79
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ALUNOS VACINADOS;0;24;9;19;52
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;VACINAS APLICADAS;0;24;10;31;65
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ENCAMINHAMENTOS;0;0;0;25;25
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;EXAMES;0;0;0;13;13
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ALUNOS CADASTRADOS;496;0;158;145;799
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ALUNOS ATENDIDOS;0;0;66;89;155
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;AVAL. PROFESSORES;0;0;37;70;107
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;AVAL. PSCÓLOGOS;0;0;50;0;50
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;AVAL. ASSIST. SOCIAIS;0;0;49;68;117
