Ano;IdUrg;URG;Escola;Tipo;Nutricao;Qtd
2026;8;URG VIII-MIGUEL COUTO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;CRECHE;MAGREZA;1
2026;8;URG VIII-MIGUEL COUTO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;CRECHE;MAGREZA ACENTUADA;1
2026;8;URG VIII-MIGUEL COUTO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;CRECHE;NORMAL (EUTROFIA);30
2026;8;URG VIII-MIGUEL COUTO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;CRECHE;OBESIDADE;16
2026;8;URG VIII-MIGUEL COUTO;CRECHE MUNICIPAL ELISABETE CARDOSO BARBOSA ARAÚJO;CRECHE;SOBREPESO;20
2026;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;EM;MAGREZA;17
2026;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;EM;MAGREZA ACENTUADA;12
2026;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;EM;NORMAL (EUTROFIA);147
2026;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;EM;OBESIDADE;23
2026;8;URG VIII-MIGUEL COUTO;E M ANTONIO PINHEIRO GUIMARAES VICTORY;EM;SOBREPESO;33
2026;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;EM;MAGREZA;12
2026;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;EM;MAGREZA ACENTUADA;3
2026;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;EM;NORMAL (EUTROFIA);255
2026;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;EM;OBESIDADE;49
2026;8;URG VIII-MIGUEL COUTO;E M AYRTON SENNA;EM;SOBREPESO;41
2026;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;EM;MAGREZA;18
2026;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;EM;MAGREZA ACENTUADA;5
2026;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;EM;NORMAL (EUTROFIA);195
2026;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;EM;OBESIDADE;16
2026;8;URG VIII-MIGUEL COUTO;E M FLOR DE LIS;EM;SOBREPESO;29
2026;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;EM;MAGREZA;68
2026;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;EM;MAGREZA ACENTUADA;23
2026;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;EM;NORMAL (EUTROFIA);445
2026;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;EM;OBESIDADE;68
2026;8;URG VIII-MIGUEL COUTO;E M JANIR CLEMENTINO PEREIRA;EM;SOBREPESO;107
2026;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;EM;MAGREZA;11
2026;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;EM;MAGREZA ACENTUADA;3
2026;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;EM;NORMAL (EUTROFIA);221
2026;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;EM;OBESIDADE;44
2026;8;URG VIII-MIGUEL COUTO;E M PAULO ROBERTO FIORENZANO ARAUJO;EM;SOBREPESO;39
2026;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;EM;MAGREZA;21
2026;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;EM;MAGREZA ACENTUADA;2
2026;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;EM;NORMAL (EUTROFIA);325
2026;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;EM;OBESIDADE;47
2026;8;URG VIII-MIGUEL COUTO;E M PROF ANNA MARIA RAMALHO;EM;SOBREPESO;57
2026;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;EM;MAGREZA;23
2026;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;EM;MAGREZA ACENTUADA;8
2026;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;EM;NORMAL (EUTROFIA);301
2026;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;EM;OBESIDADE;27
2026;8;URG VIII-MIGUEL COUTO;E M PROF DARCY RIBEIRO;EM;SOBREPESO;44
2026;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;EM;MAGREZA;11
2026;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;EM;MAGREZA ACENTUADA;2
2026;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;EM;NORMAL (EUTROFIA);269
2026;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;EM;OBESIDADE;67
2026;8;URG VIII-MIGUEL COUTO;E M PROF HAULER DA SILVA FERREIRA;EM;SOBREPESO;66
2026;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;EM;MAGREZA;17
2026;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;EM;MAGREZA ACENTUADA;15
2026;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;EM;NORMAL (EUTROFIA);267
2026;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;EM;OBESIDADE;39
2026;8;URG VIII-MIGUEL COUTO;E M PROF RUY AFRANIO PEIXOTO;EM;SOBREPESO;57
2026;8;URG VIII-MIGUEL COUTO;E M SAO MIGUEL ARCANJO;EM;MAGREZA;4
2026;8;URG VIII-MIGUEL COUTO;E M SAO MIGUEL ARCANJO;EM;NORMAL (EUTROFIA);113
2026;8;URG VIII-MIGUEL COUTO;E M SAO MIGUEL ARCANJO;EM;OBESIDADE;30
2026;8;URG VIII-MIGUEL COUTO;E M SAO MIGUEL ARCANJO;EM;SOBREPESO;34
2026;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;CRECHE;MAGREZA;5
2026;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;CRECHE;MAGREZA ACENTUADA;1
2026;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;CRECHE;NORMAL (EUTROFIA);58
2026;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;CRECHE;OBESIDADE;4
2026;8;URG VIII-MIGUEL COUTO;EMEI AMBAI;CRECHE;SOBREPESO;16
2026;8;URG VIII-MIGUEL COUTO;EMEI CASA DA CRIANCA DE MIGUEL COUTO;CRECHE;MAGREZA;3
2026;8;URG VIII-MIGUEL COUTO;EMEI CASA DA CRIANCA DE MIGUEL COUTO;CRECHE;NORMAL (EUTROFIA);23
2026;8;URG VIII-MIGUEL COUTO;EMEI CASA DA CRIANCA DE MIGUEL COUTO;CRECHE;OBESIDADE;4
2026;8;URG VIII-MIGUEL COUTO;EMEI CASA DA CRIANCA DE MIGUEL COUTO;CRECHE;SOBREPESO;4
2026;8;URG VIII-MIGUEL COUTO;GRUPO AÇÃO COMUNITÁRIO CORAÇÃO DE MÃE;CONVENIADA;NORMAL (EUTROFIA);3
2026;8;URG VIII-MIGUEL COUTO;GRUPO AÇÃO COMUNITÁRIO CORAÇÃO DE MÃE;CONVENIADA;OBESIDADE;14
2026;8;URG VIII-MIGUEL COUTO;GRUPO AÇÃO COMUNITÁRIO CORAÇÃO DE MÃE;CONVENIADA;SOBREPESO;14
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. DENISE FERNANDES DA SILVA PAULINO;CRECHE;NORMAL (EUTROFIA);9
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. DENISE FERNANDES DA SILVA PAULINO;CRECHE;OBESIDADE;9
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. DENISE FERNANDES DA SILVA PAULINO;CRECHE;SOBREPESO;12
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. LUCIANA COSTA MARTINS;CRECHE;MAGREZA;1
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. LUCIANA COSTA MARTINS;CRECHE;NORMAL (EUTROFIA);34
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. LUCIANA COSTA MARTINS;CRECHE;OBESIDADE;22
2026;7;URG VII-VILA DE CAVA;CRECHE MUNICIPAL PROF. LUCIANA COSTA MARTINS;CRECHE;SOBREPESO;34
2026;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;EM;MAGREZA;22
2026;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;EM;MAGREZA ACENTUADA;5
2026;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;EM;NORMAL (EUTROFIA);279
2026;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;EM;OBESIDADE;41
2026;7;URG VII-VILA DE CAVA;E M AMERICA XAVIER DA SILVEIRA;EM;SOBREPESO;36
2026;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;EM;MAGREZA;6
2026;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;EM;MAGREZA ACENTUADA;1
2026;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;EM;NORMAL (EUTROFIA);146
2026;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;EM;OBESIDADE;25
2026;7;URG VII-VILA DE CAVA;E M AMINTHAS PEREIRA;EM;SOBREPESO;23
2026;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;EM;MAGREZA;6
2026;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;EM;MAGREZA ACENTUADA;1
2026;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;EM;NORMAL (EUTROFIA);129
2026;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;EM;OBESIDADE;14
2026;7;URG VII-VILA DE CAVA;E M DR JUVENIL DE SOUZA LOPES;EM;SOBREPESO;29
2026;7;URG VII-VILA DE CAVA;E M JOSÉ PACIFICO;EM;NORMAL (EUTROFIA);60
2026;7;URG VII-VILA DE CAVA;E M JOSÉ PACIFICO;EM;OBESIDADE;22
2026;7;URG VII-VILA DE CAVA;E M JOSÉ PACIFICO;EM;SOBREPESO;26
2026;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;EM;MAGREZA;23
2026;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;EM;MAGREZA ACENTUADA;14
2026;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;EM;NORMAL (EUTROFIA);295
2026;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;EM;OBESIDADE;49
2026;7;URG VII-VILA DE CAVA;E M PROF IRENE DA SILVA OLIVEIRA;EM;SOBREPESO;59
2026;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;EM;MAGREZA;18
2026;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;EM;MAGREZA ACENTUADA;4
2026;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;EM;NORMAL (EUTROFIA);231
2026;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;EM;OBESIDADE;22
2026;7;URG VII-VILA DE CAVA;E M PROF LUCIA HELENA DE LIMA;EM;SOBREPESO;39
2025;1;URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;CONVENIADA;NORMAL (EUTROFIA);16
2025;1;URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;CONVENIADA;OBESIDADE;6
2025;1;URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;CONVENIADA;SOBREPESO;15
2025;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EM;MAGREZA;3
2025;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EM;NORMAL (EUTROFIA);24
2025;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EM;OBESIDADE;20
2025;1;URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;EM;SOBREPESO;22
2025;1;URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;CRECHE;NORMAL (EUTROFIA);9
