Ano;IdUrg;URG;Escola;Tipo;Vacina;Qtd
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;COVID COMINARTY INFANTIL;2
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;COVID PFIZER;1
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;FEBRE AMARELA;2
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;HPV - VÍRUS DO PAPILOMA HUMANO;2
2022;1;URG I-CENTRO;E M PROF PAULO FREIRE;EM;INFLUENZA;8
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;COVID PFIZER;15
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;DT - DIFTERIA E TÉTANO;2
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;DTP - TRÍPLICE BACTERIANA;4
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;INFLUENZA;8
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;MENINGOCÓCICA C;1
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;PNEUMOCÓCICA;1
2022;1;URG I-CENTRO;EMEI JESUS BOM PASTOR;CRECHE;VOP (ORAL) - POLIOMELITE;15
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;COVID COMINARTY INFANTIL;18
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;COVID PFIZER;1
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;DT - DIFTERIA E TÉTANO;1
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;DTP - TRÍPLICE BACTERIANA;7
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;FEBRE AMARELA;7
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;HPV - VÍRUS DO PAPILOMA HUMANO;27
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;INFLUENZA;24
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;MENINGOCÓCICA ACWY;15
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;MENINGOCÓCICA C;2
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;VARICELA;3
2022;2;URG II-POSSE;C M E E ESPECIAL PAUL HARRIS;EM;VOP (ORAL) - POLIOMELITE;7
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;EM;COVID PFIZER;39
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;EM;DT - DIFTERIA E TÉTANO;2
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;EM;HPV - VÍRUS DO PAPILOMA HUMANO;39
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;EM;INFLUENZA;51
2022;2;URG II-POSSE;CIEP BRIZOLAO 099 DR BOLIVARD GOMES DE ASSUMPCAO;EM;MENINGOCÓCICA ACWY;19
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;COVID COMINARTY INFANTIL;5
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;COVID CORONAVAC;3
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;COVID PFIZER;19
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;DT - DIFTERIA E TÉTANO;18
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;DTP - TRÍPLICE BACTERIANA;2
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;FEBRE AMARELA;17
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;HPV - VÍRUS DO PAPILOMA HUMANO;118
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;INFLUENZA;84
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;MENINGOCÓCICA ACWY;76
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;VARICELA;2
2022;2;URG II-POSSE;E M DOUGLAS BRASIL;EM;VOP (ORAL) - POLIOMELITE;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;COVID COMINARTY INFANTIL;52
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;COVID CORONAVAC;19
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;DT - DIFTERIA E TÉTANO;5
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;DTP - TRÍPLICE BACTERIANA;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;FEBRE AMARELA;54
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;HEPATITE A;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;HEPATITE B;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;HPV - VÍRUS DO PAPILOMA HUMANO;87
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;INFLUENZA;147
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;MENINGOCÓCICA ACWY;57
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;TRÍPLICE VIRAL;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;VARICELA;1
2022;2;URG II-POSSE;E M DR ORLANDO MELLO;EM;VOP (ORAL) - POLIOMELITE;8
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;EM;COVID PFIZER;38
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;EM;FEBRE AMARELA;1
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;EM;HPV - VÍRUS DO PAPILOMA HUMANO;61
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;EM;INFLUENZA;37
2022;2;URG II-POSSE;E M ESTANISLAU RIBEIRO DO AMARAL;EM;MENINGOCÓCICA ACWY;31
2022;2;URG II-POSSE;E M GUINLE;EM;COVID PFIZER;15
2022;2;URG II-POSSE;E M GUINLE;EM;DT - DIFTERIA E TÉTANO;1
2022;2;URG II-POSSE;E M GUINLE;EM;DTP - TRÍPLICE BACTERIANA;2
2022;2;URG II-POSSE;E M GUINLE;EM;HPV - VÍRUS DO PAPILOMA HUMANO;17
2022;2;URG II-POSSE;E M GUINLE;EM;INFLUENZA;14
2022;2;URG II-POSSE;E M GUINLE;EM;MENINGOCÓCICA ACWY;5
2022;2;URG II-POSSE;E M GUINLE;EM;MENINGOCÓCICA C;3
2022;2;URG II-POSSE;E M GUINLE;EM;VOP (ORAL) - POLIOMELITE;3
2022;2;URG II-POSSE;E M HERBERT MOSES;EM;COVID PFIZER;21
2022;2;URG II-POSSE;E M HERBERT MOSES;EM;DTP - TRÍPLICE BACTERIANA;3
2022;2;URG II-POSSE;E M HERBERT MOSES;EM;HPV - VÍRUS DO PAPILOMA HUMANO;41
2022;2;URG II-POSSE;E M HERBERT MOSES;EM;INFLUENZA;20
2022;2;URG II-POSSE;E M HERBERT MOSES;EM;MENINGOCÓCICA ACWY;17
