URG;Escola;Vacina;2022;2023;2024;2025;Total
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;HPV - VÍRUS DO PAPILOMA HUMANO;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;MENINGOCÓCICA ACWY;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;FEBRE AMARELA;0;0;0;9;9
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;MENINGOCÓCICA C;0;0;0;1;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;DTP - TRÍPLICE BACTERIANA;0;7;1;4;12
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;HEPATITE A;0;0;1;1;2
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;HEPATITE B;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;DT - DIFTERIA E TÉTANO;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;VOP (ORAL) - POLIOMELITE;0;0;1;0;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;PENTA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;INFLUENZA;0;14;7;9;30
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COVID CORONAVAC;0;2;0;0;2
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;VARICELA;0;1;0;0;1
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;Q-DENGA;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;XBB;0;0;0;0;0
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;TETRAVIRAL;0;0;0;7;7
URG I-CENTRO;ASSOCIAÇÃO CRESCENDO COM CRISTO;ACWY;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;HPV - VÍRUS DO PAPILOMA HUMANO;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;MENINGOCÓCICA ACWY;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;FEBRE AMARELA;0;0;0;2;2
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;DTP - TRÍPLICE BACTERIANA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;HEPATITE A;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;HEPATITE B;0;0;2;4;6
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;DT - DIFTERIA E TÉTANO;0;0;11;1;12
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;VOP (ORAL) - POLIOMELITE;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;PENTA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;INFLUENZA;0;0;9;3;12
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;VARICELA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;Q-DENGA;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;XBB;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;TETRAVIRAL;0;0;0;0;0
URG I-CENTRO;CAIESP CASTORINA FARIA LIMA;ACWY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;HPV - VÍRUS DO PAPILOMA HUMANO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;MENINGOCÓCICA ACWY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;FEBRE AMARELA;0;5;0;0;5
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;DTP - TRÍPLICE BACTERIANA;0;0;3;3;6
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;HEPATITE A;0;0;2;0;2
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;HEPATITE B;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;DT - DIFTERIA E TÉTANO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;VOP (ORAL) - POLIOMELITE;0;0;3;0;3
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;PENTA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;INFLUENZA;0;6;5;8;19
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;COVID CORONAVAC;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;VARICELA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;Q-DENGA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;XBB;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;TETRAVIRAL;0;0;0;3;3
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA APARECIDA DE SOUZA;ACWY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;HPV - VÍRUS DO PAPILOMA HUMANO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;MENINGOCÓCICA ACWY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;FEBRE AMARELA;0;0;4;5;9
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PNEUMOCÓCICA;0;1;0;0;1
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;DTP - TRÍPLICE BACTERIANA;0;7;0;11;18
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;HEPATITE A;0;0;2;1;3
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;HEPATITE B;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;DT - DIFTERIA E TÉTANO;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;VIP (INJETÁVEL) - POLIOMIELITE ;0;0;3;1;4
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;VOP (ORAL) - POLIOMELITE;0;4;0;0;4
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ROTAVÍRUS;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;PENTA;0;1;9;0;10
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;TRÍPLICE VIRAL;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;INFLUENZA;0;18;16;14;48
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;COVID PFIZER;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;COVID CORONAVAC;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;COVID COMINARTY INFANTIL;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;COVID ASTRAZENECA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;VARICELA;0;7;0;0;7
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;COVID PFIZER BABY;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;Q-DENGA;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;XBB;0;0;0;0;0
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;TETRAVIRAL;0;0;8;5;13
URG I-CENTRO;CRECHE MUNICIPAL PROF. MARIA LUZIANA RODRIGUES CHAVES;ACWY;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;HPV - VÍRUS DO PAPILOMA HUMANO;0;13;1;8;22
URG I-CENTRO;E M CAPISTRANO DE ABREU;MENINGOCÓCICA ACWY;0;4;0;3;7
URG I-CENTRO;E M CAPISTRANO DE ABREU;FEBRE AMARELA;0;4;0;3;7
URG I-CENTRO;E M CAPISTRANO DE ABREU;PNEUMOCÓCICA;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;MENINGOCÓCICA C;0;0;0;0;0
URG I-CENTRO;E M CAPISTRANO DE ABREU;DTP - TRÍPLICE BACTERIANA;0;4;0;2;6
